raw_name,accepted_name,gbif_key,genus,family,order,class,phylum,kingdom,status,match_type,confidence,ok,reason,retrieved_at
Artemisia princeps,Artemisia princeps,3121258,Artemisia,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Artemisia umbelliformis,Artemisia umbelliformis,8981321,Artemisia,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Artemisia vulgaris,Artemisia vulgaris,3120946,Artemisia,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Artocarpus heterophyllus,Artocarpus heterophyllus,2984565,Artocarpus,Moraceae,Rosales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Ascophyllum nodosum,Ascophyllum nodosum,3196524,Ascophyllum,Fucaceae,Fucales,Phaeophyceae,Ochrophyta,Chromista,ACCEPTED,EXACT,98,True,,2026-08-20
Asimina triloba,Asimina triloba,3158040,Asimina,Annonaceae,Magnoliales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Asparagopsis armata,Asparagopsis armata,5279840,Asparagopsis,Bonnemaisoniaceae,Bonnemaisoniales,Florideophyceae,Rhodophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Asparagus officinalis,Asparagus officinalis,2768885,Asparagus,Asparagaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,98,True,,2026-08-20
Asperula odorata,Galium odoratum,2914642,Galium,Rubiaceae,Gentianales,Magnoliopsida,Tracheophyta,Plantae,SYNONYM,EXACT,98,True,,2026-08-20
Aster tripolium,,,,,,,,,,HIGHERRANK,0,False,no_match:HIGHERRANK,2026-08-20
Astragalus gummifer,Astragalus gummifer,5352898,Astragalus,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Astragalus membranaceus,,,,,,,,,,HIGHERRANK,0,False,no_match:HIGHERRANK,2026-08-20
Astragalus sinicus,Astragalus sinicus,5345082,Astragalus,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Astrocaryum murumuru,Astrocaryum murumuru,2738081,Astrocaryum,Arecaceae,Arecales,Liliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,98,True,,2026-08-20
Astrocaryum tucuma,Astrocaryum tucuma,2738074,Astrocaryum,Arecaceae,Arecales,Liliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Astrocaryum vulgare,Astrocaryum vulgare,2738076,Astrocaryum,Arecaceae,Arecales,Liliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Atriplex nummularia,Atriplex nummularia,3083652,Atriplex,Amaranthaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Avena sativa,Avena sativa,2705290,Avena,Poaceae,Poales,Liliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Averrhoa carambola,Averrhoa carambola,2891641,Averrhoa,Oxalidaceae,Oxalidales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Azadirachta indica,Azadirachta indica,3190474,Azadirachta,Meliaceae,Sapindales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Baccharis dracunculifolia,Baccharis dracunculifolia,3129176,Baccharis,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Baccharis genistelloides,Baccharis genistelloides,3129545,Baccharis,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
