raw_name,accepted_name,gbif_key,genus,family,order,class,phylum,kingdom,status,match_type,confidence,ok,reason,retrieved_at
Aesculus chinensis,Aesculus chinensis,7323139,Aesculus,Sapindaceae,Sapindales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Aesculus hippocastanum,Aesculus hippocastanum,3189815,Aesculus,Sapindaceae,Sapindales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Aesculus turbinata,Aesculus turbinata,3189819,Aesculus,Sapindaceae,Sapindales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Aframomum angustifolium,Aframomum angustifolium,2758823,Aframomum,Zingiberaceae,Zingiberales,Liliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Aframomum melegueta,Aframomum melegueta,2758930,Aframomum,Zingiberaceae,Zingiberales,Liliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Agardhiella subulata,Agardhiella subulata,5279568,Agardhiella,Solieriaceae,Gigartinales,Florideophyceae,Rhodophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Agaricus bisporus,Agaricus bisporus,5243447,Agaricus,Agaricaceae,Agaricales,Agaricomycetes,Basidiomycota,Fungi,ACCEPTED,EXACT,97,True,,2026-08-20
Agaricus blazei,Agaricus blazei,5457214,Agaricus,Agaricaceae,Agaricales,Agaricomycetes,Basidiomycota,Fungi,ACCEPTED,EXACT,99,True,,2026-08-20
Agarose is,,,,,,,,,,NONE,0,False,no_match:NONE,2026-08-20
Agarum cribrosum,Agarum clathratum,2661536,Agarum,Costariaceae,Laminariales,Phaeophyceae,Ochrophyta,Chromista,SYNONYM,EXACT,98,True,,2026-08-20
Agastache mexicana,Agastache mexicana,7307389,Agastache,Lamiaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
