substanceId,inciName,innName,phEurName,casNo,ecNo,chemicalDescription,chemicalName,functionName,status,cosmeticRestriction,otherRestrictions,otherRegulations,relatedRegulations,maximumConcentration,productTypeBodyParts,wordingOfConditions,sccsOpinion,note,perfuming,annexNo,officialJournalPublication,currentVersion
60070,TARCHONANTHUS CAMPHORATUS OIL,,,,,Tarchonanthus Camphoratus Oil is the volatile oil obtained from Tarchonanthus Camphoratus,,FRAGRANCE | SKIN CONDITIONING,Active,,,,,,,,,,N,,Y,1
60071,TARCHONANTHUS CAMPHORATUS WATER,,,,,Tarchonanthus Camphoratus Water is an aqueous solution of the steam distillate obtained from the plant Tarchonanthus Camphoratus,,FRAGRANCE,Active,,,,,,,,,,N,,Y,1
60072,TAXUS CUSPIDATA LEAF EXTRACT,,,-,-,"Taxus Cuspidata Leaf Extract is an extract of the leaves of the Taxus cuspidata, Taxaceae",,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer,,,,,,,,N,,Y,1
60073,TBHQ,,,1948-33-0,217-752-2,,"1,4-Benzenediol, 2-(1,1-Dimethylethyl)-; 2-tert-Butyl-1,4-dihydroxybenzene; tert-Butyl hydroquinone",ANTIOXIDANT | FRAGRANCE | PERFUMING,Active,,ban substances that deplete the ozone layer,,,,,,,,N,,Y,1
60074,T-BUTYL ACETATE,,,540-88-5,208-760-7,,"1,1-Dimethylethyl acetate",SOLVENT,Active,,ban substances that deplete the ozone layer,,,,,,,,N,,Y,1
60075,T-BUTYL METHACRYLATE,,,585-07-9,209-548-7,,"2-Propenoic Acid, 2-Methyl-, 1,1- Dimethylethyl Ester",FILM FORMING,Active,,ban substances that deplete the ozone layer,,,,,,,,N,,Y,1
60076,T-BUTYL METHYLPHENOXY PHENOL,,,307000-42-6,-,,"4-[2-(1,1- Dimethylethyl)-5-methylphenoxy]phenol",DEODORANT,Active,,,,,,,,,,N,,Y,1
60077,T-BUTYLBENZAMIDO HYDROXYLBENZAMIDE,,,,,,"4-(4-(1,1-Dimethylethyl)benzamido)benzenecarbohydroxamic acid",ANTIOXIDANT | SKIN PROTECTING,Active,,ban substances that deplete the ozone layer,,,,,,,,N,,Y,1
60078,T-BUTYLBENZAMIDO HYDROXYLPHENYLACETAMIDE,,,,,,"4-(4-(1,1-Dimethylethyl)benzamido)phenylacetohydroxamic acid",ANTIOXIDANT | SKIN PROTECTING,Active,,ban substances that deplete the ozone layer,,,,,,,,N,,Y,1
60079,T-BUTYLBENZAMIDO METHYLHYDROXYLBENZAMIDE,,,,,,"N-Methyl-4-(4-(1,1-dimethylethyl)benzamido)benzenecarbohydroxamic acid",ANTIOXIDANT | SKIN PROTECTING,Active,,,,,,,,,,N,,Y,1
60080,TDI OXIDIZED MICROCRYSTALLINE CERA,,,,,TDI Oxidized Microcrystalline Wax is oxidized microcrystalline wax (q.v.) reacted with toluene diisocyanate,,VISCOSITY CONTROLLING,Active,,,,,,,,,,N,,Y,1
60081,TDI/TRIMELLITIC ANHYDRIDE COPOLYMER,,,,,TDIi/Trimellitic Anhydride Copolymer is a copolymer of toluene diisocyanate and trimellitic anhydride monomers,,BINDING,Active,,,,,,,,,,N,,Y,1
60082,TEA-ACRYLATES/ETHYLHEXYL ACRYLATE COPOLYMER,,,,,"TEA-Acrylates/Ethylhexyl Acrylate Copolymer is a copolymer of ethylhexyl acrylate and triethanolamine salt of one or more monomers consisting of acrylic acid, methacrylic acid, or one of their simple esters",,FILM FORMING,Active,III/62,,,,,,,,,N,,Y,1
60083,TEA-ALGINATE,,,,,"Alginic acid, triethanolamine salt",,BINDING | EMULSION STABILISING | VISCOSITY CONTROLLING,Active,III/62,ban substances that deplete the ozone layer,,,,,,,,N,,Y,1
60084,TEA-C11-15 ALKYL SULFATE,,,,,TEA-C11-15 Alkyl Sulfate is the triethanolamine salt of the sulfate ester of a mixture of synthetic C11-15 fatty alcohols,,CLEANSING | SURFACTANT - CLEANSING,Active,III/62,,,,,,,,,N,,Y,1
60085,VIBURNUM OPULUS BARK EXTRACT,,,90131-98-9,290-415-5,"Viburnum Opulus Bark Extract is an extract of the bark of the Viburnum opulus L., Caprifoliaceae",,ASTRINGENT | SKIN CONDITIONING,Active,,,,,,,,,,N,,Y,1
60087,VICIA FABA SEED EXTRACT,,,89958-06-5,289-628-6,"Vicia Faba Extract is an extract of the seeds of the Faba Bean, Vicia faba L., Leguminosae",,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer,,,,,,,,N,,Y,1
60088,VICIA SATIVA SYMBIOSOME EXTRACT,,,96508-08-6,306-189-9,"Vicia Sativa Symbiosome Extract is an extract of the symbiosome (root nodule) of the Vicia sativa L., Fabaceae",,ANTIOXIDANT | SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer,,,,,,,,N,,Y,1
60089,VIGNA ACONITIFOLIA SEED EXTRACT,,,,,"Vigna Aconitifolia Seed Extract is an extract of the seeds of the Vigna aconitifolia, Leguminosae",,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer,,,,,,,,N,,Y,1
60090,VIGNA RADIATA SEED EXTRACT,,,,,"Vigna Radiata Seed Extract is an extract of the seeds of the Vigna radiata (L.), Leguminosae",,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer,,,,,,,,N,,Y,1
60091,VINCA MINOR LEAF EXTRACT,,,84012-41-9,281-686-0,"Vinca Minor Leaf Extract is the extract obtained from the leaves of the Periwinkle, Vinca minor L., Apocynaceae",,SKIN CONDITIONING,Active,,,,,,,,,,N,,Y,1
60092,VINYL BUTETH-25/SODIUM MALEATE COPOLYMER,,,,,Vinyl Buteth-25/Sodium Maleate Copolymer,,SURFACTANT - CLEANSING,Active,,,,,,,,,,N,,Y,1
60093,VINYL CHLORIDE/VINYL LAURATE COPOLYMER,,,,,Poly(vinyl chloride-co-vinyl laurate),,FILM FORMING,Active,,,,,,,,,,N,,Y,1
60094,VINYL DIMETHICONE/LAURYL DIMETHICONE CROSSPOLYMER,,,-,-,Vinyl Dimethicone/Lauryl Dimethicone Crosspolymer is Lauryl Dimethicone crosslinked with divinyl dimethicone,,SURFACTANT - CLEANSING | VISCOSITY CONTROLLING,Active,,,,,,,,,,N,,Y,1
60095,VINYL DIMETHICONE/METHICONE SILSESQUIOXANE CROSSPOLYMER,,,,,Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer,,VISCOSITY CONTROLLING,Active,,,,,,,,,,N,,Y,1
60097,VINYLAMINE/VINYL ALCOHOL COPOLYMER,,,29499-22-7,,"Ethenol, polymer with ethenamine",,FILM FORMING | HAIR FIXING,Active,,,,,,,,,,N,,Y,1
60098,VIOLA ODORATA FLOWER/LEAF EXTRACT,,,90147-36-7,290-427-0,"Viola Odorata Extract is an extract of the flowers and leaves of the Sweet Violet, Viola odorata L., Violaceae",,FRAGRANCE | SKIN CONDITIONING | TONIC,Active,,,,,,,,,,N,,Y,1
60099,VIOLA ODORATA LEAF CERA,,,90147-36-7,290-427-0,"Viola Odorata Leaf Cera is the wax obtained from the leaves of Sweet Violet, Viola odorata L., Violaceae",,FRAGRANCE,Active,,,,,,,,,,N,,Y,1
60100,VIOLA PRIONANTHA POWDER,,,,,"Viola Prionantha Powder is the powder obtained from the dried, ground Grass, Viola prionantha, Violaceae",,ABRASIVE | FRAGRANCE | SKIN PROTECTING,Active,,,,,,,,,,N,,Y,1
60101,VIOLA TRICOLOR FLOWER JUICE,,,84012-42-0,281-687-6,"Viola Tricolor Flower Juice is the juice expressed from the flowers of the Pansy, Viola tricolor L., Violaceae",,SKIN CONDITIONING,Active,,,,,,,,,,N,,Y,1
60102,VIOLA TRICOLOR FLOWER/LEAF/STEM WATER,,,84012-42-0,281-687-6,"Viola Tricolor Flower/Leaf/Stem Water is an aqueous solution of the steam distillate obtained from the flowers, leaves and stems of the Pansy, Viola tricolor L., Violaceae",,FRAGRANCE,Active,,,,,,,,,,N,,Y,1
