COSING Ref No,INCI name,INN name,Ph. Eur. Name,CAS No,Chem/IUPAC Name / Description,Restriction,Function,Update Date
58614,SIMMONDSIA CHINENSIS LEAF EXTRACT,,, 90045-98-0,"Simmondsia Chinensis Leaf Extract is an extract of the leaves of the Jojoba, Simmondsia chinensis, Buxaceae",,HUMECTANT,15/10/2010
58615,SIMMONDSIA CHINENSIS SEED CERA,,, 90045-98-0,"Simmondsia Chinensis Seed Cera is a waxy substance obtained from the seeds of the Jojoba, Simmondsia chinensis, Buxaceae",,"EMOLLIENT, HAIR CONDITIONING, SKIN CONDITIONING, VISCOSITY CONTROLLING",15/10/2010
58616,SIMMONDSIA CHINENSIS SEED EXTRACT,,, 90045-98-0,"Simmondsia Chinensis Seed Extract is an extract of the seeds of the Jojoba, Simmondsia chinensis, Buxaceae",,"ABRASIVE, EMOLLIENT, HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010
58617,SIMMONDSIA CHINENSIS SEED OIL,,, 90045-98-0,"Simmondsia Chinensis Seed Oil is the fixed oil expressed or extracted from seeds of the desert shrub, Jojoba, Simmondsia chinensis, Buxaceae",,"EMOLLIENT, HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010
58618,SIMMONDSIA CHINENSIS SEED POWDER,,, 90045-98-0,"Simmondsia Chinensis Seed Powder is a powder obtained from the dried, ground seeds of the Jojoba, Simmondsia chinensis, Buxaceae",,SKIN CONDITIONING,15/10/2010
83972,HELIANTHUS TUBEROSUS EXTRACT,,, 90045-97-9,"Helianthus Tuberosus Extract is the extract of the whole plant, Helianthus tuberosus L., Asteraceae",,SKIN CONDITIONING,15/10/2010
56524,HELIANTHUS TUBEROSUS ROOT EXTRACT,,, 90045-97-9,"Helianthus Tuberosus Root Extract is an extract of the roots of Helianthus tuberosus L., Compositae",,SKIN CONDITIONING,15/10/2010
56039,EUGENIA JAMBOS FRUIT JUICE,,, 90045-96-8,"Eugenia Jambos Fruit Juice is the juice expressed from the fruit of Eugenia jambos L., Myrtaceae",,"HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010
58043,METHYL ETHYLCELLULOSE,,, 9004-59-5,"Cellulose, ethyl methyl ether",,"BINDING, FILM FORMING, VISCOSITY CONTROLLING",15/10/2010
39754,JASMINUM OFFICINALE FLOWER OIL,,, 90045-94-6 / 8022-96-6,"Jasminum Officinale Flower Oil is an essential oil obtained by molecular distillation of the flowers from the Jasmine, Jasminum officinale L., Oleaceae",,PERFUMING,02/03/2011
34775,JASMINUM OFFICINALE EXTRACT,,, 90045-94-6,"Jasminum Officinale Extract is the extract of the whole plant of the Jasmine, Jasminum officinale L., Oleaceae",,"MASKING, MOISTURISING, SKIN CONDITIONING, SOOTHING",15/10/2010
57733,JASMINUM OFFICINALE FLOWER,,, 90045-94-6,"Jasminum Officinale Flower is the flower obtained from the Jasmine, Jasminum officinale L., Oleaceae",,SKIN CONDITIONING,15/10/2010
