COSING Ref No,INCI name,INN name,Ph. Eur. Name,CAS No,Chem/IUPAC Name / Description,Restriction,Function,Update Date
78869,STEARALKONIUM BENTONITE,,, 130501-87-0,"Benzenemethanaminium, N,N-dimethyl-N-octadecyl-, reaction products with bentonite",,"GEL FORMING, VISCOSITY CONTROLLING",15/10/2010
59902,TRITICUM VULGARE KERNEL FLOUR,,, 130498-22-5,"Triticum Vulgare Flour is the milled flour from kernels of the Wheat, Triticum vulgare, Poaceae",,"ABRASIVE, BULKING, VISCOSITY CONTROLLING",15/10/2010
32199,BISMUTH SUBNITRATE,bismuth subnitrate,, 1304-85-4,"Bismuth nitrate, basic",,"ABSORBENT, OPACIFYING",15/10/2010
38047,SODIUM RIBOFLAVIN PHOSPHATE,riboflavin 5'-phosphate sodium,riboflavini natrii phosphas, 130-40-5,Riboflavin 5'-(sodium hydrogen phosphate),,SKIN CONDITIONING,15/10/2010
38975,ZINC RICINOLEATE,,, 13040-19-2,Zinc diricinoleate,,"ANTICAKING, DEODORANT, OPACIFYING",15/10/2010
59036,POTASSIUM CAPRATE,,, 13040-18-1,Potassium salt of capric acid,,SURFACTANT,15/10/2010
78484,LAURDIMONIUM HYDROXYPROPYL HYDROLYZED WHEAT PROTEIN,,, 130381-06-5,"Dodecanaminium, N,N-dimethyl-N-(3-(wheat-protein-hydrolysate)propyl)-, chloride",,"ANTISTATIC, HAIR CONDITIONING",15/10/2010
78981,STEARDIMONIUM HYDROXYPROPYL HYDROLYZED WHEAT PROTEIN,,, 130381-05-4,"Protein hydrolysates, Wheat germ, [3-(Dimethyloctadecylammonio)-2-Hydroxypropyl], Chloride",,"ANTISTATIC, HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010
75273,COCODIMONIUM HYDROXYPROPYL HYDROLYZED WHEAT PROTEIN,,, 130381-04-3,"2-Hydroxy-1-propanaminium, N,N-dimethyl-N-(coco-alkyl)-, 3-hydrolyzed wheat protein, chlorides",,"ANTISTATIC, CLEANSING, HAIR CONDITIONING, SKIN CONDITIONING, SURFACTANT",15/10/2010
79591,PG-HYDROXYETHYLCELLULOSE COCODIMONIUM CHLORIDE,,, 130353-64-9,"Propanaminium, N-coco-alkyl-N,N-dimethyl-2,3-dihydroxy-, 3-ethers with 2-hydroxyethylcellulose, chlorides",,"ANTISTATIC, HAIR CONDITIONING",15/10/2010
54602,AMMONIUM SILVER ZINC ALUMINUM SILICATE,,, 130328-20-0,"Silver Zinc Zeolite (Zeolite, LTA framework type, surface-modified with silver and zinc ions). This entry covers LTA framework type zeolite which has been surface-modified with both silver and zinc ions at contents Ag 0.5%-6%, Zn 5%-16%, and potentially with phosphorus oxides, NH4+, Mg2+ and/or Ca2+ each at levels of <3%.",CMR2. 10th Adaptation to Technical and scientific Progress (ATP- It includes the chemical names of substances subject to harmonised classification and labelling listed in Table 3 of Annex VI CLP). Application date 1st of December 2018.,"ABSORBENT, DEODORANT, PRESERVATIVE",07/11/2018
58608,SILVER COPPER ZEOLITE,,, 130328-19-7,Silver Copper Zeolite is the product obtained by the reaction of zeolite with silver nitrate and cupric nitrate,,"ABSORBENT, DEODORANT",15/10/2010
57213,N-ACETYL DIHYDROSPHINGOSINE,,, 13031-64-6,"Acetamide, N-[(1S,2R)-2-hydroxy-1-(hydroxymethyl)heptadecyl]-",,"HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010
91601,SODALITE POWDER,,, 1302-90-5,Sodalite Powder is the finely ground mineral consisting chiefly of Na8 (Al6Si6O24)Cl2.,,"ABRASIVE, SKIN CONDITIONING",20/11/2014
86155,TOCOPHERYL TRANEXAMATE HCL,,, 130288-11-8,"Cyclohexanecarboxylic Acid, 4-(Aminomethyl)-, 3,4-Dihydro-2,5,7,8-Tetramethyl-2-(4,8,12-Trimethyltridecyl)-2H-1-Benzopyran-6-yl Ester",,ORAL CARE,15/10/2010
80486,ULTRAMARINES,,, 1302-83-6 / 1317-97-1 / 1345-00-2 / 11118-33-5 / 12703-66-1 / 12769-96-9 / 57455-37-5,"Ultramarines (blue, green, pink, red and violet) are synthetic pigments composed of complex sodium aluminum sulfosilicates having a typical formula Na(AlSiO)S with proportions of each element varying with each colour. To identify the colorant allowed for use in the European Union (EU), the INCI Name CI 77007 must be used.",IV/120,HAIR DYEING,12/07/2019
32813,CI 77004,,, 1302-78-9 / 1327-36-2 / 1332-58-7,"Natural hydrated aluminium silicate, Al2O3.2SiO2.2H2O, containing calcium, magnesium or iron carbonates, ferric hydroxide, quartz-sand, mica, etc. as impurities",IV/119,COSMETIC COLORANT,15/10/2010
32125,BENTONITE,bentonite,bentonitum, 1302-78-9,Bentonite. A colloidal clay. Consists primarily of montmorillonite (CI 77004),IV/119,"ABSORBENT, BULKING, EMULSION STABILISING, VISCOSITY CONTROLLING",22/02/2011
83659,GARNET POWDER,,, 1302-62-1,Almandine (Al2Fe3(SiO4)3),,ABRASIVE,15/10/2010
59782,TOPAZ,,, 1302-59-6,Topaz is a mineral consisting chiefly of aluminium hexafluorosilicate,,ABRASIVE,15/10/2010
79035,SODIUM ALUMINATE,,, 1302-42-7,Aluminium sodium dioxide,,"ANTICORROSIVE, BUFFERING",15/10/2010
54773,BIOTITE,,, 1302-27-8,"Micaite, rock-forming material of the mica-group",,"BULKING, VISCOSITY CONTROLLING",15/10/2010
92901,DEHYDROLATANOPROST,,, 130209-76-6,"Isopropyl Dihydro Noralfaprostal,Isopropyl Phenylhydroxypentene Dihydroxycyclopentylheptenate",,,09/07/2015
32790,CI 69825,,, 130-20-1,"7,16-Dichloro-6,15-dihydroanthrazine-5,9,14,18-tetrone",IV/96,COSMETIC COLORANT,21/07/2015
55593,DECENOL,,, 13019-22-2,Dec-9-en-1-ol; Decylenic alcohol,,"MASKING, PERFUMING",15/10/2010
75852,DIMETHICONOL STEARATE,,, 130169-63-0,"Siloxanes and Silicones, Dimethyl, [(1-Oxooctadecyl)Oxy]-Terminated",,"EMOLLIENT, SKIN CONDITIONING",15/10/2010
83545,BIS(TRIPEPTIDE-1) COPPER ACETATE,,, 130120-57-9,"Cuprate (1-), (glycyl-L-histidyl-N1-L-lysinato)[glycyl-N-L-histidyl-N,N3-L-lysinato(2-)]-, hydrogen, diacetate",,SKIN CONDITIONING,15/10/2010
79484,SODIUM GLUCEPTATE,gluceptate sodium,, 13007-85-7 / 31138-65-5,Sodium D-glycero-D-gulo-heptonate,,CHELATING,15/10/2010
38121,SODIUM XYLENESULFONATE,,, 1300-72-7,Sodium xylenesulphonate,,HYDROTROPE,15/10/2010
79992,SODIUM PHENOLSULFONATE,,, 1300-51-2,Sodium hydroxybenzenesulphonate,,"ANTIMICROBIAL, DEODORANT",15/10/2010
74228,ALUMINUM PHENOLSULFONATE,,, 1300-35-2,Aluminium tris(hydroxybenzenesulphonate),,"ANTIMICROBIAL, ASTRINGENT, DEODORANT",15/10/2010
90061,ISOSTEARYL ISOBUTYRATE,,, 1300074-28-5,"Propanoic acid, 2-methyl-, isooctadecyl ester",,"EMOLLIENT, SKIN CONDITIONING",14/10/2013
84040,CARYA ILLINOENSIS SEED EXTRACT,,, 129893-27-2,"Carya Illinoensis Seed Extract is the extract of the seeds of the Pecan, Carya illinoensis, Juglandaceae",,SKIN CONDITIONING,15/10/2010
55098,CARYA ILLINOENSIS SEED OIL,,, 129893-27-2,"Carya Illinoensis Seed Oil is the fixed oil obtained from the nut of the Pecan, Carya illinoensis, Juglandaceae",,SKIN CONDITIONING,15/10/2010
55099,CARYA ILLINOENSIS SHELL EXTRACT,,, 129893-27-2,"Carya Illinoensis Shell Extract is an extract of the shell of the Pecan, Carya illinoensis, Juglandaceae",,SKIN CONDITIONING,15/10/2010
93748,CARYA ILLINOINENSIS SEED OIL,,, 129893-27-2,"Pecan Oil,Pecan Seed Oil",,SKIN CONDITIONING,20/03/2018
94238,HYDROGENATED ACETOPHENONE/OXYMETHYLENE/IPDI COPOLYMER,,, 129870-75-3,"Formaldehyde, polymer with 1-phenylethanone, hydrogenated, polymers with 5-isocyanato-1-(isocyanatomethyl)-1,3,3-trimethylcyclohexane",,"BINDING, FILM FORMING, NAIL CONDITIONING, VISCOSITY CONTROLLING",02/06/2016
31745,C10-13 ALKANE,,, 129813-66-7,"Alkanes, C10-13",,SOLVENT,15/10/2010
57480,MACADAMIA TERNIFOLIA SEED EXTRACT,,, 129811-19-4 / 128497-20-1,"Macadamia Ternifolia Seed Extract is an extract of the nuts of the Bushnut, Macadamia ternifolia, Proteaceae",,"EMOLLIENT, SKIN CONDITIONING",15/10/2010
82735,MACADAMIA TERNIFOLIA SHELL POWDER,,, 129811-19-4 / 128497-20-1,"Macadamia Ternifolia Shell Powder is the powder obtained from the dried, ground shells of the Bushnut, Macadamia ternifolia,",,ABRASIVE,15/10/2010
56654,HYDROGENATED MACADAMIA SEED OIL,,, 129811-19-4,"Hydrogenated Macadamia Seed Oil is the end-product of the controlled hydrogenation of the oil expressed from the seeds of Macadamia integrifolia, Proteaceae",,"HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010
57477,MACADAMIA INTEGRIFOLIA SHELL POWDER,,, 129811-19-4,"Macadamia Integrifolia Shell Powder is the powder obtained from the dried, ground shell and fiber of the Macadamia integrifolia, Proteaceae",,ABRASIVE,15/10/2010
31660,ACRYLATES/OCTYLACRYLAMIDE COPOLYMER,,, 129702-02-9,"2-Propenoic acid, 2-methyl-, 2-methylpropylester, polymer with 2-propenoic acid and N-(1,1,3,3-tetramethylbutyl)-2-propenamide",,"FILM FORMING, HAIR FIXING",15/10/2010
34622,ISOCETYL ISODECANOATE,,, 129588-05-2,"Isodecanoic acid, isohexadecyl ester",,"EMOLLIENT, SKIN CONDITIONING",15/10/2010
77174,MYRISTAMIDOPROPYL DIMETHYLAMINE PHOSPHATE,,, 129541-40-8,"Phosphoric acid, salts with N-[3-(dimethylamino)propyl]tetradecanamide",,"CLEANSING, SURFACTANT",15/10/2010
54531,ASCORBYL GLUCOSIDE,,, 129499-78-1,2-O-alpha-D-Glucopyranosyl-L-ascorbic acid,,ANTIOXIDANT,15/10/2010
94089,GLYCOL/NEOPENTYL GLYCOL/PHTHALIC ANHYDRIDE COPOLYMER BENZOATE,,, 1294504-41-8,"1,3-Isobenzofurandione, polymer with 2,2-dimethyl-1,3-propanediol and 1,2-ethanediol, dibenzoate",,FILM FORMING,23/06/2016
35799,PALMITAMIDOHEXADECANEDIOL,,, 129426-19-3,"1,3-Hexadecanediol, 2-(1-oxohexadecyl)amino-",,SKIN CONDITIONING,15/10/2010
75907,DIOCTYLDODECYL DIMER DILINOLEATE,,, 129423-60-5,"9,12-Octadecadienoic acid dimer (Z,Z)-, octyldodecyl diester",,"EMOLLIENT, SKIN CONDITIONING",15/10/2010
75908,DIOCTYLDODECYL DODECANEDIOATE,,, 129423-55-8,"Dodecanedioic acid, bis(octyldodecyl) ester",,"ANTISTATIC, EMOLLIENT, HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010
90195,AMODIMETHICONE/MORPHOLINOMETHYL SILSESQUIOXANE COPOLYMER,,, 1293390-78-9,"Siloxanes and Silicones, 3-[(2-aminoethyl)amino]propyl Me, di-Me, polymers with 4-morpholinylmethyl silsesquioxanes, hydroxy-terminated",,HAIR CONDITIONING,30/04/2013
32752,CI 42045,,, 129-17-9,"Hydrogen [4-[4-(diethylamino)-2',4'-disulphonatobenzhydrylidene]cyclohexa-2,5-dien-1-ylidene]diethylammonium, sodium salt",IV/59,COSMETIC COLORANT,15/10/2010
94049,TORULASPORA DELBRUECKII EXTRACT,,, 1291071-26-5,"Torulaspora Delbrueckii Extract is the extract of the yeast, Torulaspora delbrueckii, Saccharomycetaceae.",,SKIN PROTECTING,22/06/2016
78503,METHYLSILANOL TRI-PEG-8 GLYCERYL COCOATE,,, 128973-72-8,"Fatty acids, coco, ester with .alpha., .alpha.',.alpha.""""-(methylsilylidyne)tris (.omega.-(2,3-dihydroxypropoxy)poly(oxy-1,2-ethanediyl))",,"EMULSIFYING, SKIN CONDITIONING",15/10/2010
33687,DISPERSE VIOLET 1,,, 128-95-0,"1,4-Diaminoanthraquinone; (CI 61100)",,HAIR DYEING,15/10/2010
82534,SODIUM PHENYLACETYL ISOGLUTAMINE,,, 128932-51-4,"Pentanoic Acid, 5-Amido-5-Oxo-4-[(Phenylacetyl)Amino]-, Monosodium Salt",,SKIN CONDITIONING,15/10/2010
78887,POLYGLYCERYL-3 CETYL ETHER,,, 128895-87-4,"1,2,3-Propanetriol, homopolymer, hexadecyl ethers (1:1) (3 mol glycerol average molar ratio)",,EMULSIFYING,15/10/2010
32785,CI 61565,,, 128-80-3,"1,4-bis(p-Tolylamino)anthraquinone",IV/91,COSMETIC COLORANT,15/07/2015
78921,POLYGLYCERYL-5 LAURATE,,, 128738-83-0,"1,2,3-Propanetriol, homopolymer, dodecanoates (1:1) (5 mol glycerol average molar ratio)",,EMULSIFYING,15/10/2010
34526,HYDROXYPROPYL BIS(N-HYDROXYETHYL-P-PHENYLENEDIAMINE) HCL,,, 128729-28-2,"1,4-Benzenediamine, N(4)-(2-hydroxyethyl)-N(1),N'(1)-[2-hydroxypropanediyl]-",III/239,HAIR DYEING,18/10/2010
92561,HELIANTHUS ANNUUS SEED WAX,,, 1286686-34-7,Helianthus Annus Seed Wax,,SKIN CONDITIONING,15/07/2015
94376,DIMETHYLOL BUTANOIC ACID/IPDI/PPG-17/PPG-34 COPOLYMER,,, 1285663-88-8,"Butanoic acid, 2,2-bis(hydroxymethyl)-, polymer with \a--hydro-\q-hydroxypoly[oxy(methyl-1,2-ethanediyl)] and 5-isocyanato-1-(isocyanatomethyl)-1,3,3-trimethylcyclohexane",,FILM FORMING,05/08/2016
77522,NOPYL ACETATE,,, 128-51-8,"Bicyclo[3.1.1]hept-2-ene-2-ethanol, 6,6-dimethyl-, acetate",,MASKING,15/10/2010
41001,NOPOL,,, 128-50-7,"6,6-Dimethylbicyclo[3.1.1]-2-hepten-2-ethanol",,PERFUMING,02/03/2011
77513,MACADAMIA TERNIFOLIA SEED OIL,,, 128497-20-1 / 129811-19-4,"Macadamia Ternifolia Seed Oil is the fixed oil obtained from the nuts of the Bushnut, Macadamia ternifolia, Proteaceae. It consists primarily of the glycerides of the fatty acids",,EMOLLIENT,15/10/2010
40434,METHOXY-TETRAHYDRO-METHYLENEPYRANYL-PHENOL,,, 128489-04-3,2-Methoxy-4-(tetrahydro-4-methylene-2H-pyran-2-yl)phenol,,PERFUMING,02/03/2011
39570,4-DIHYDROMETHYL-2H-PYRAN-2-YL GUAIACOL,,, 128489-02-1,"4-(3,6-Dihydro-4-methyl-2H-pyran-2-yl)-2-methoxy-phenol",,PERFUMING,02/03/2011
75954,DISTEARETH-6 DIMONIUM CHLORIDE,,, 128482-55-3,"Poly(oxy-1,2-ethanediyl), .alpha., .alpha.'-((dimethyliminio)di-2,1-ethanediyl)bis(.omega.-(octadecyloxy)-, chloride (12 mol EO average molar ratio)",,"ANTISTATIC, EMULSIFYING, HAIR CONDITIONING, SURFACTANT",15/10/2010
80014,SODIUM SACCHARIN,saccharin sodium,saccharinum natricum, 128-44-9 / 6155-57-3,"1,2-Benzisothiazol-3(2H)-one 1,1-dioxide, sodium salt",,"FLAVOURING, MASKING, ORAL CARE",15/10/2010
78255,METHYL CYCLODEXTRIN,,, 128446-36-6,"β-Cyclodextrin, methyl ethers",,CHELATING,15/10/2010
34534,HYDROXYPROPYL CYCLODEXTRIN,,, 128446-33-3 / 128446-35-5,".beta.-Cyclodextrin, 2-hydroxypropyl ethers",,"MASKING, SKIN CONDITIONING",15/10/2010
96914,POLYACRYLATE-50,,, 1283712-49-1,"2-Propenoic acid, 2-methyl-, 2-ethylhexyl ester, telomer with 1-dodecanethiol, ethenylbenzene and 2-methyloxirane polymer with oxirane monoether with 1,2-propanediol mono(2-methyl-2-propenoate), hydrogen 2-sulfobutanedioate, sodium salt, 2,2'-(1,2-diazenediyl)bis[2-methylbutanenitrile]-initiated",,"EMULSIFYING, SURFACTANT",13/05/2019
32185,BHT,butylated hydroxytoluene,butylhydroxytoluenum, 128-37-0,"2,6-Di-tert-butyl-p-cresol",,"ANTIOXIDANT, MASKING",15/10/2010
89956,BIS-DIMETHICONE,,, 1283601-14-8,"Siloxanes and Silicones, di-Me, Bu group- and 3-(4-methoxyphenyl)propyl group-terminated",,"EMOLLIENT, SKIN CONDITIONING",28/04/2014
59303,PHTHALIMIDOPEROXYCAPROIC ACID,,, 128275-31-0,"1,3-Dihydro-1,3-dioxo-2H-isoindole-2-hexaneperoxoic acid",,OXIDISING,15/10/2010
85399,DIBUTYL MALEATE/HEXADECENE/TETRADECENE COPOLYMER,,, 128218-63-3,"Dibutyl Maleate/Hexadecene/Tetradecene Copolymer is a copolymer of dibutyl maleate, Hexadecene and Tetradecene monomers",,ANTICAKING,15/10/2010
34278,HEXYLDECYL ETHYLHEXANOATE,,, 128165-66-2,"Hexanoic acid, 2-ethyl-, 2-hexyldecyl ester",,"EMOLLIENT, SKIN CONDITIONING",15/10/2010
88849,URSODIOL,,, 128-13-2,"Cholan-24-oic acid, 3,7-dihydroxy-, 3-α, 5-β, 7-β)-",,"SKIN CONDITIONING, SKIN PROTECTING",08/10/2012
40813,"2-METHYL-3-(1,7,7-TRIMETHYLBICYCLOHEPT-2-YLOXY)-PROPANOL",,, 128119-70-0,"2-Methyl-3-[(1,7,7-trimethylbicyclo-[2.2.1]hept-2-yl)oxy]-1-propanol",,PERFUMING,02/03/2011
41357,BETA-PINENES,,, 127-91-3,"Pin-2(10)-ene; 6,6-Dimethyl-2-methylenebicyclo[3.1.1]heptane; nopinene; pseudopinene",III/130,PERFUMING,15/10/2010
93515,HYDROGENATED POLYISOPRENE CROSSPOLYMER,,, 127883-08-3,"Benzene, diethenyl-, polymer with 2-methyl-1,3-butadiene, hydrogenated",,VISCOSITY CONTROLLING,06/10/2015
38973,ZINC PHENOLSULFONATE,zinc phenolsulfonate,, 127-82-2,Zinc bis(4-hydroxybenzenesulphonate),III/25,"ANTIMICROBIAL, ASTRINGENT, DEODORANT",15/10/2010
34627,ISOCETYL PALMITATE,,, 127770-27-8,"Hexadecanoic acid, isohexadecyl ester",,"EMOLLIENT, SKIN CONDITIONING",15/10/2010
33339,DIHYDROGENATED TALLOW PHTHALIC ACID AMIDE,,, 127733-92-0,"Benzoic acid, 2-[bis(hydrogenated tallow alkyl)]aminocarbonyl-",,"EMULSIFYING, SURFACTANT",15/10/2010
32814,CI 77007,,, 12769-96-9 / 1302-83-6 / 57455-37-5,Lazurite,IV/120,COSMETIC COLORANT,15/10/2010
37970,SODIUM M-NITROBENZENESULFONATE,,, 127-68-4,Sodium 3-nitrobenzenesulphonate,,VISCOSITY CONTROLLING,15/10/2010
93922,MANGANESE QUINOLYLMETHYLAMINOETHYL PYRIDINYLTRIAZACYCLODODECANE,,, 1276692-37-5,"Manganese(2+), aqua[rel-[N(R),3R,9S]-N-(4-quinolinylmethyl)-3,6,9,15-tetraazabicyclo[9.3.1]pentadeca-1(15),11,13-triene-6-ethanamine\KNN6,\KN3,\KN6,\KN9,\KN15]-, (OC-6-36)-, perchlorate (1:2)",,ANTIOXIDANT,09/06/2016
55258,CHLORAMINE T,,, 127-65-1,"Benzenesulfonamide, N-chloro-4-methyl-, sodium salt",III/5,ANTIMICROBIAL,15/10/2010
78756,POLYGLYCERYL-10 DISTEARATE,,, 12764-60-2,"1,2,3-Propanetriol, homopolymer, octadecanoates (1:2) (10 mol glycerol average molar ratio)",,EMULSIFYING,15/10/2010
78687,PROPAGERMANIUM,,, 12758-40-6 / 126595-07-1,"3,3'-(1,3-Dioxo-1,3-digermoxanediyl)dipropionic acid; 3,3'-(Dioxodigermoxanylene) dipropanoic acid; Germanate(2-), bis(2-carboxylatoethyl)trioxodi-, dihydrogen",,SKIN CONDITIONING,15/10/2010
59060,REPAGERMANIUM,,, 12758-40-6,Poly-trans-[(2-Carboxyethyl) Germasesquioxane],,SKIN CONDITIONING,15/10/2010
39665,ALPHA-ISOMETHYL IONONE,,, 127-51-5,"3-Methyl-4-(2,6,6-trimethyl-2-cyclohexenyl)-3-buten-2-one; Methyl-gamma-ionone; gamma-Methylionone",III/90,"PERFUMING, SKIN CONDITIONING",12/07/2019
32676,CHOLESTERYL ISOSTEARYL CARBONATE,,, 127512-93-0,"Cholest-5-en-3-ol (3.beta.)-, isooctadecyl carbonate",,SKIN CONDITIONING,15/10/2010
78895,POLYGLYCERYL-3 ISOSTEARATE,,, 127512-63-4,"1,2,3-Propanetriol, homopolymer, isooctadecanoates (1:1) (3 mol glycerol average molar ratio)",,EMULSIFYING,15/10/2010
34973,LAURYL PHOSPHATE,,, 12751-23-4,"Phosphoric acid, dodecyl ester",,EMULSIFYING,15/10/2010
37480,RETINYL ACETATE,,, 127-47-9,Retinyl acetate,,SKIN CONDITIONING,15/10/2010
83027,HYDROXYANASATIL RETINOATE,Isotretinoin anisatil [USAN],, 127471-94-7,"Retinoic Acid, 2-(4-Methoxyphenyl)-2-Oxoethyl Ester, 13-cis-",,SKIN CONDITIONING,15/10/2010
94287,BARLEY SH-POLYPEPTIDE-9,,, 127464-60-2,"Transgenic Barley sh-Polypeptide-9,Vasculotropin (INN)",,SKIN CONDITIONING,08/09/2016
93918,NICOTIANA BENTHAMIANA HEXAPEPTIDE-40 SH-POLYPEPTIDE-9,,, 127464-60-2,Nicotiana Benthamiana Hexapeptide-40 sh-Polypeptide-9 is a fusion peptide of Hexapeptide-40 with a single chain recombinant human peptide produced by transgenic Nicotiana benthamiana after the transient expression or stable insertion of a copy of a human gene into its DNA. The starting human gene is synthesized to be identical to the human gene which codes for Vascular Endothelial Growth Factor A and contains a maximum of 412 amino acids and may contain disulfide bonds and/or glycosylation. The protein consists of the proper sequence of the 20 standard amino acids,,HAIR CONDITIONING,20/06/2016
41316,ALPHA-METHYL-BETA-IONONE,,, 127-43-5,"1-(2,6,6-Trimethyl-1-cyclohexenyl)pent-1-en-3-one; 5-(2,6,6-Trimethyl-1-cyclohexenyl)-4-penten-3-one; beta-Cetone; beta-Cyclocitrylidenebutanone; beta-Methylionone; Methyl-beta-ionone; beta-Iraldeine; homo-beta-ionone",,PERFUMING,02/03/2011
41315,ALPHA-METHYL-ALPHA-IONONE,,, 127-42-4,"(R-(E))-1-(2,6,6-Trimethyl-2-cyclohexenyl)pent-1-en-3-one; alpha-Cetone; alpha-Methylionone; Methyl-alpha-ionone; alpha-Cyclocitrylidenebutanone; alpha-Cyclocitrylidenemethyl ethyl ketone; homo-alpha-ionone",,PERFUMING,02/03/2011
41314,ALPHA-IONONE,,, 127-41-3,"4-(2,6,6-Trimethylcyclohex-2-eneyl)-but-3-ene-2-one; 1-(2,6,6-Trimethylcyclohex-2-eneyl)-but-1-ene-3-one.",,PERFUMING,02/03/2011
92483,XANTHOPHYLLS,,, 127-40-2,"\b,\e-Carotene-3,3'Diol, (3R, 3'R, 6'R)-,Lutein",,SKIN CONDITIONING,15/03/2016
75605,DIISOBUTYL SODIUM SULFOSUCCINATE,,, 127-39-9,"Sodium 1,2-diisobutoxycarbonylethanesulphonate",,"FOAM BOOSTING, HYDROTROPE, SKIN CONDITIONING, SURFACTANT",15/10/2010
38378,SUCROSE BENZOATE,,, 12738-64-6,".alpha.-d-Glucopyranoside, .beta.-d-fructofuranosyl, benzoate",,"FILM FORMING, PLASTICISER",15/10/2010
57682,ISOSTEARYL LINOLEATE,,, 127358-80-9,"9,12-Octadecadienoic Acid (9Z,12Z)-, Isooctadecyl Ester",,"EMOLLIENT, SKIN CONDITIONING",15/10/2010
76886,HYDROXYSTEARAMIDOPROPYL TRIMONIUM CHLORIDE,,, 127312-01-0,"1-Propanaminium, 3-[(1-oxo-12-hydroxyoctadecyl)amino]-N,N,N-trimethyl-, chloride",,"ANTISTATIC, HAIR CONDITIONING",15/10/2010
76887,HYDROXYSTEARAMIDOPROPYL TRIMONIUM METHOSULFATE,,, 127312-00-9,"1-Propanaminium, 3-[(1-oxo-12-hydroxyoctadecyl)amino]-N,N,N-trimethyl-, methyl sulfate (salt)",,"ANTISTATIC, HAIR CONDITIONING",15/10/2010
79658,RICINOLEAMIDOPROPYLTRIMONIUM CHLORIDE,,, 127311-98-2,"1-Propanaminium, N,N,N-trimethyl-3-[(12-hydroxy-1-oxo-9-octadecenyl)amino]-, chloride",,"ANTISTATIC, HAIR CONDITIONING",15/10/2010
93686,AZELAMIDOPROPYL DIMETHYL AMINE,,, 1272659-40-1,"Nonanoic acid, 9-[[3-(dimethylamino)propyl]amino]-9-oxo-",,"ANTIMICROBIAL, ANTISEBORRHOEIC, SKIN CONDITIONING",17/03/2016
40437,METHYL ABIETATE,,, 127-25-3,"Methyl [1R(1.alpha., 4a.beta., 4b.alpha., 10a.alpha.)]-1,2,3,4,4a,4b,5,6,10,10a-decahydro-1,4a-dimethyl-7-(1-methylethyl)-1-phenanthrenecarboxylate",,PERFUMING,02/03/2011
88093,BROMOPHENYL PROPENAMINOETHYL ISOQUINOLINESULFONAMIDE HCL,,, 127243-85-0; 910228-02-3,Bromophenyl Propenaminoethyl Isoquinolinesulfonamide HCl is the organic compound.,,BLEACHING,20/03/2018
36465,PENTAERYTHRITYL TETRAABIETATE,,, 127-23-1,"1-Phenanthrenecarboxylic acid, 1,2,3,4,4a,4b,5,6,10,10a-decahydro-1,4a-dimethyl-7-(1-methylethyl)-, 2,2-bis[[[[1,2,3,4,4a,4b,5,6,10,10a-decahydro-1,4a-dimethyl-7-(1-methylethyl)-1-phenanthrenyl]carbonyl]oxy]methyl]-1,3-propanediyl ester.",,"EMOLLIENT, VISCOSITY CONTROLLING",15/10/2010
79232,PYRUVIC ACID,,, 127-17-3,"Propanoic Acid, 2-oxo",,MASKING,15/10/2010
59941,UMBER,,, 12713-03-0,"Umber is a naturally occurring inorganic compound consisting mainly of aluminium silicate, manganese oxide and iron oxide hydrate",,ABSORBENT,15/10/2010
78774,POLYGLYCERYL-10 TRISTEARATE,,, 12709-64-7,"1,2,3-Propanetriol, homopolymer, octadecanoates (1:3) (10 mol glycerol average molar ratio)",,SKIN CONDITIONING,15/10/2010
37720,SODIUM ACETATE,sodium acetate,natrii acetas, 127-09-3,Sodium acetate,,"BUFFERING, MASKING",15/10/2010
36927,POTASSIUM ACETATE,potassium acetate,kalii acetas, 127-08-2,Potassium acetate,,FILM FORMING,15/10/2010
83833,UNDECETH-40,,, 127036-24-2,,,"EMULSION STABILISING, SKIN CONDITIONING, SURFACTANT",15/10/2010
33800,ETHANOLAMINE THIOGLYCOLATE,,, 126-97-6,(2-Hydroxyethyl)ammonium mercaptoacetate,III/2a III/61,"DEPILATORY, HAIR WAVING OR STRAIGHTENING, REDUCING",15/10/2010
78788,POLYGLYCERYL-2 STEARATE,,, 12694-22-3,"Stearic acid, monoester with oxybis(propanediol)",,EMULSIFYING,15/10/2010
79099,POLYGLYCERYL-6 ISOSTEARATE,,, 126928-07-2,"1,2,3-Propanetriol, homopolymer, isooctadecanoates (1:1) (6 mol glycerol average molar ratio)",,EMULSIFYING,15/10/2010
37867,SODIUM ETHYLHEXYL SULFATE,sodium etasulfate,, 126-92-1,Sodium etasulfate,,"EMULSIFYING, HYDROTROPE, SURFACTANT",15/10/2010
41007,D-ALLO-OCIMENOL,,, 126-91-0,"(R)-3,7-Dimethyl-1,6-octadien-3-ol",III/84,PERFUMING,15/10/2010
41008,L-ALLO-OCIMENOL,,, 126-90-9,"(S)-3,7-Dimethyl-1,6-octadien-3-ol",III/84,PERFUMING,15/10/2010
88884,GLYOXYLOYL CARBOCYSTEINE,,, 1268868-51-4,Oxoacetamide Carbocysteine,,"ANTISTATIC, HAIR WAVING OR STRAIGHTENING",08/05/2015
